Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR4703472_1	ERR4703472_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14101068.0	1 Gbp	0.0	31-76	51.0	47.01705176739446	75.51727571273325	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
ERR4703472_2	ERR4703472_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14101068.0	1 Gbp	0.0	31-76	51.0	44.98457572439294	75.47076831343556	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
ERR4703473_1	ERR4703473_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18443309.0	1.3 Gbp	0.0	31-76	51.0	44.91984420671361	75.51646843849984	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
ERR4703473_2	ERR4703473_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18443309.0	1.3 Gbp	0.0	31-76	52.0	43.059183479232196	75.46969781832533	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
ERR4703474_1	ERR4703474_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14477146.0	1 Gbp	0.0	31-76	50.0	46.72032793118706	75.52620523409793	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
ERR4703474_2	ERR4703474_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14477146.0	1 Gbp	0.0	31-76	51.0	44.581497234502535	75.47723646635878	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
ERR4703475_1	ERR4703475_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14120396.0	1 Gbp	0.0	31-76	51.0	47.0757715588895	75.50798348714866	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
ERR4703475_2	ERR4703475_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14120396.0	1 Gbp	0.0	31-76	51.0	45.11829668401941	75.46416141586964	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
ERR4703476_1	ERR4703476_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14569961.0	1.1 Gbp	0.0	31-76	49.0	51.30989278967751	75.52815302662786	76	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
ERR4703476_2	ERR4703476_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14569961.0	1 Gbp	0.0	31-76	50.0	48.34591755904906	75.48562436097117	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
ERR4703477_1	ERR4703477_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13280998.0	1 Gbp	0.0	31-76	50.0	50.443354148209984	75.53231202956285	76	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
ERR4703477_2	ERR4703477_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13280998.0	1 Gbp	0.0	31-76	51.0	47.6144378111468	75.47015668551414	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
ERR4703478_1	ERR4703478_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14363137.0	1 Gbp	0.0	31-76	47.0	47.50447239048345	75.51352765067965	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
ERR4703478_2	ERR4703478_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14363137.0	1 Gbp	0.0	31-76	47.0	46.10335094888466	75.46618102995188	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
ERR4703479_1	ERR4703479_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16104212.0	1.2 Gbp	0.0	31-76	50.0	47.246160191431386	75.52836431860186	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
ERR4703479_2	ERR4703479_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16104212.0	1.2 Gbp	0.0	31-76	51.0	45.155378519025106	75.4788296378612	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
