Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR4703472_1	52.98294823260554	51.0	75.51727571273325	76	18.181818181818183	14101068.0
ERR4703472_2	55.01542427560706	51.0	75.47076831343556	76	18.181818181818183	14101068.0
ERR4703473_1	55.08015579328639	51.0	75.51646843849984	76	18.181818181818183	18443309.0
ERR4703473_2	56.940816520767804	52.0	75.46969781832533	76	18.181818181818183	18443309.0
ERR4703474_1	53.27967206881294	50.0	75.52620523409793	76	18.181818181818183	14477146.0
ERR4703474_2	55.418502765497465	51.0	75.47723646635878	76	18.181818181818183	14477146.0
ERR4703475_1	52.9242284411105	51.0	75.50798348714866	76	18.181818181818183	14120396.0
ERR4703475_2	54.88170331598059	51.0	75.46416141586964	76	18.181818181818183	14120396.0
ERR4703476_1	48.69010721032249	49.0	75.52815302662786	76	9.090909090909092	14569961.0
ERR4703476_2	51.65408244095094	50.0	75.48562436097117	76	18.181818181818183	14569961.0
ERR4703477_1	49.556645851790016	50.0	75.53231202956285	76	9.090909090909092	13280998.0
ERR4703477_2	52.3855621888532	51.0	75.47015668551414	76	18.181818181818183	13280998.0
ERR4703478_1	52.49552760951655	47.0	75.51352765067965	76	18.181818181818183	14363137.0
ERR4703478_2	53.89664905111534	47.0	75.46618102995188	76	18.181818181818183	14363137.0
ERR4703479_1	52.753839808568614	50.0	75.52836431860186	76	18.181818181818183	16104212.0
ERR4703479_2	54.844621480974894	51.0	75.4788296378612	76	18.181818181818183	16104212.0
