Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR4703472_1	53.12489059849915	51.0	75.10531702600892	76	27.27272727272727	14503258.0
ERR4703472_2	54.07906666008149	51.0	75.46619752610069	76	18.181818181818183	14503258.0
ERR4703473_1	56.1184998999642	51.0	74.46612615373277	76	27.27272727272727	19214588.0
ERR4703473_2	56.1394182237311	52.0	75.46891138129008	76	18.181818181818183	19214588.0
ERR4703474_1	54.07150396111538	50.0	74.71735859420464	76	27.27272727272727	15001330.0
ERR4703474_2	54.50725356194599	51.0	75.47797328636861	76	18.181818181818183	15001330.0
ERR4703475_1	53.48687375869221	51.0	74.84857955533197	76	27.27272727272727	14582159.0
ERR4703475_2	54.04018278549651	51.0	75.48102108885249	76	18.181818181818183	14582159.0
ERR4703476_1	48.61449150080941	49.0	75.5062044160418	76	9.090909090909092	14786726.0
ERR4703476_2	51.12090025796511	50.0	75.49753812980643	76	18.181818181818183	14786726.0
ERR4703477_1	49.51908692854591	50.0	75.50333383107821	76	9.090909090909092	13527680.0
ERR4703477_2	51.79323578483168	51.0	75.49383737640157	76	18.181818181818183	13527680.0
ERR4703478_1	53.57056000342264	47.0	74.38295966734469	76	27.27272727272727	15160197.0
ERR4703478_2	52.85436141026035	48.0	75.49821760231744	76	18.181818181818183	15160197.0
ERR4703479_1	53.34226855888363	50.0	74.85568332938435	76	27.27272727272727	16670950.0
ERR4703479_2	53.98082308785781	51.0	75.4558016789685	76	18.181818181818183	16670950.0
