Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell line]	Characteristics[disease]	Characteristics[genotype]	Characteristics[phenotype]	Comment[replicate]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[phenotype]	Factor Value[RNA interference]	Factor Value[time]	Unit[time unit]
H357_Cis_0M_Rep1	ERS5229718	SAMEA7472023	Homo sapiens	tongue	H357	tongue squamous cell carcinoma	wild type genotype	sensitive to cisplatin	Rep1	cell	P-MTAB-102270	Institute of Life Sciences, Bhubaneswar	P-MTAB-102271	Institute of Life Sciences, Bhubaneswar	P-MTAB-102272	Institute of Life Sciences, Bhubaneswar	H357_Cis_0M_Rep1	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	327	20	P-MTAB-102273	Institute of Life Sciences, Bhubaneswar	H357_Cis_0M_Rep1	sequencing assay	ERX4624047	H357_Cis_0M_Rep1_R1.fastq.gz	H357_Cis_0M_Rep1_R1.fastq.gz	ERR4703472	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/002/ERR4703472/ERR4703472_1.fastq.gz	sensitive to cisplatin	none	0	month
H357_Cis_0M_Rep1	ERS5229718	SAMEA7472023	Homo sapiens	tongue	H357	tongue squamous cell carcinoma	wild type genotype	sensitive to cisplatin	Rep1	cell	P-MTAB-102270	Institute of Life Sciences, Bhubaneswar	P-MTAB-102271	Institute of Life Sciences, Bhubaneswar	P-MTAB-102272	Institute of Life Sciences, Bhubaneswar	H357_Cis_0M_Rep1	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	327	20	P-MTAB-102273	Institute of Life Sciences, Bhubaneswar	H357_Cis_0M_Rep1	sequencing assay	ERX4624047	H357_Cis_0M_Rep1_R2.fastq.gz	H357_Cis_0M_Rep1_R2.fastq.gz	ERR4703472	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/002/ERR4703472/ERR4703472_2.fastq.gz	sensitive to cisplatin	none	0	month
H357_Cis_0M_Rep2	ERS5229719	SAMEA7472024	Homo sapiens	tongue	H357	tongue squamous cell carcinoma	wild type genotype	sensitive to cisplatin	Rep2	cell	P-MTAB-102270	Institute of Life Sciences, Bhubaneswar	P-MTAB-102271	Institute of Life Sciences, Bhubaneswar	P-MTAB-102272	Institute of Life Sciences, Bhubaneswar	H357_Cis_0M_Rep2	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	320	20	P-MTAB-102273	Institute of Life Sciences, Bhubaneswar	H357_Cis_0M_Rep2	sequencing assay	ERX4624048	H357_Cis_0M_Rep2_R1.fastq.gz	H357_Cis_0M_Rep2_R1.fastq.gz	ERR4703473	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/003/ERR4703473/ERR4703473_1.fastq.gz	sensitive to cisplatin	none	0	month
H357_Cis_0M_Rep2	ERS5229719	SAMEA7472024	Homo sapiens	tongue	H357	tongue squamous cell carcinoma	wild type genotype	sensitive to cisplatin	Rep2	cell	P-MTAB-102270	Institute of Life Sciences, Bhubaneswar	P-MTAB-102271	Institute of Life Sciences, Bhubaneswar	P-MTAB-102272	Institute of Life Sciences, Bhubaneswar	H357_Cis_0M_Rep2	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	320	20	P-MTAB-102273	Institute of Life Sciences, Bhubaneswar	H357_Cis_0M_Rep2	sequencing assay	ERX4624048	H357_Cis_0M_Rep2_R2.fastq.gz	H357_Cis_0M_Rep2_R2.fastq.gz	ERR4703473	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/003/ERR4703473/ERR4703473_2.fastq.gz	sensitive to cisplatin	none	0	month
H357_CisR_4M_Rep1	ERS5229720	SAMEA7472025	Homo sapiens	tongue	H357	tongue squamous cell carcinoma	wild type genotype	resistant to cisplatin	Rep1	cell	P-MTAB-102270	Institute of Life Sciences, Bhubaneswar	P-MTAB-102271	Institute of Life Sciences, Bhubaneswar	P-MTAB-102272	Institute of Life Sciences, Bhubaneswar	H357_CisR_4M_Rep1	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	332	20	P-MTAB-102273	Institute of Life Sciences, Bhubaneswar	H357_CisR_4M_Rep1	sequencing assay	ERX4624049	H357_CisR_4M_Rep1_R1.fastq.gz	H357_CisR_4M_Rep1_R1.fastq.gz	ERR4703474	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/004/ERR4703474/ERR4703474_1.fastq.gz	resistant to cisplatin	scrambled siRNA	4	month
H357_CisR_4M_Rep1	ERS5229720	SAMEA7472025	Homo sapiens	tongue	H357	tongue squamous cell carcinoma	wild type genotype	resistant to cisplatin	Rep1	cell	P-MTAB-102270	Institute of Life Sciences, Bhubaneswar	P-MTAB-102271	Institute of Life Sciences, Bhubaneswar	P-MTAB-102272	Institute of Life Sciences, Bhubaneswar	H357_CisR_4M_Rep1	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	332	20	P-MTAB-102273	Institute of Life Sciences, Bhubaneswar	H357_CisR_4M_Rep1	sequencing assay	ERX4624049	H357_CisR_4M_Rep1_R2.fastq.gz	H357_CisR_4M_Rep1_R2.fastq.gz	ERR4703474	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/004/ERR4703474/ERR4703474_2.fastq.gz	resistant to cisplatin	scrambled siRNA	4	month
H357_CisR_4M_Rep2	ERS5229721	SAMEA7472026	Homo sapiens	tongue	H357	tongue squamous cell carcinoma	wild type genotype	resistant to cisplatin	Rep2	cell	P-MTAB-102270	Institute of Life Sciences, Bhubaneswar	P-MTAB-102271	Institute of Life Sciences, Bhubaneswar	P-MTAB-102272	Institute of Life Sciences, Bhubaneswar	H357_CisR_4M_Rep2	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	308	20	P-MTAB-102273	Institute of Life Sciences, Bhubaneswar	H357_CisR_4M_Rep2	sequencing assay	ERX4624050	H357_CisR_4M_Rep2_R1.fastq.gz	H357_CisR_4M_Rep2_R1.fastq.gz	ERR4703475	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/005/ERR4703475/ERR4703475_1.fastq.gz	resistant to cisplatin	scrambled siRNA	4	month
H357_CisR_4M_Rep2	ERS5229721	SAMEA7472026	Homo sapiens	tongue	H357	tongue squamous cell carcinoma	wild type genotype	resistant to cisplatin	Rep2	cell	P-MTAB-102270	Institute of Life Sciences, Bhubaneswar	P-MTAB-102271	Institute of Life Sciences, Bhubaneswar	P-MTAB-102272	Institute of Life Sciences, Bhubaneswar	H357_CisR_4M_Rep2	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	308	20	P-MTAB-102273	Institute of Life Sciences, Bhubaneswar	H357_CisR_4M_Rep2	sequencing assay	ERX4624050	H357_CisR_4M_Rep2_R2.fastq.gz	H357_CisR_4M_Rep2_R2.fastq.gz	ERR4703475	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/005/ERR4703475/ERR4703475_2.fastq.gz	resistant to cisplatin	scrambled siRNA	4	month
H357_CisR_8M_Rep1	ERS5229722	SAMEA7472027	Homo sapiens	tongue	H357	tongue squamous cell carcinoma	wild type genotype	resistant to cisplatin	Rep1	cell	P-MTAB-102270	Institute of Life Sciences, Bhubaneswar	P-MTAB-102271	Institute of Life Sciences, Bhubaneswar	P-MTAB-102272	Institute of Life Sciences, Bhubaneswar	H357_CisR_8M_Rep1	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	350	20	P-MTAB-102273	Institute of Life Sciences, Bhubaneswar	H357_CisR_8M_Rep1	sequencing assay	ERX4624051	H357_CisR_8M_Rep1_R1.fastq.gz	H357_CisR_8M_Rep1_R1.fastq.gz	ERR4703476	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/006/ERR4703476/ERR4703476_1.fastq.gz	resistant to cisplatin	scrambled siRNA	8	month
H357_CisR_8M_Rep1	ERS5229722	SAMEA7472027	Homo sapiens	tongue	H357	tongue squamous cell carcinoma	wild type genotype	resistant to cisplatin	Rep1	cell	P-MTAB-102270	Institute of Life Sciences, Bhubaneswar	P-MTAB-102271	Institute of Life Sciences, Bhubaneswar	P-MTAB-102272	Institute of Life Sciences, Bhubaneswar	H357_CisR_8M_Rep1	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	350	20	P-MTAB-102273	Institute of Life Sciences, Bhubaneswar	H357_CisR_8M_Rep1	sequencing assay	ERX4624051	H357_CisR_8M_Rep1_R2.fastq.gz	H357_CisR_8M_Rep1_R2.fastq.gz	ERR4703476	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/006/ERR4703476/ERR4703476_2.fastq.gz	resistant to cisplatin	scrambled siRNA	8	month
