Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR4703472_1	ERR4703472_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14503258.0	1 Gbp	0.0	35-76	51.0	46.87510940150085	75.10531702600892	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
ERR4703472_2	ERR4703472_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14503258.0	1 Gbp	0.0	35-76	51.0	45.92093333991851	75.46619752610069	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
ERR4703473_1	ERR4703473_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19214588.0	1.4 Gbp	0.0	35-76	51.0	43.8815001000358	74.46612615373277	76	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ERR4703473_2	ERR4703473_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19214588.0	1.4 Gbp	0.0	35-76	52.0	43.8605817762689	75.46891138129008	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
ERR4703474_1	ERR4703474_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15001330.0	1.1 Gbp	0.0	35-76	50.0	45.92849603888462	74.71735859420464	76	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ERR4703474_2	ERR4703474_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15001330.0	1.1 Gbp	0.0	35-76	51.0	45.49274643805401	75.47797328636861	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
ERR4703475_1	ERR4703475_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14582159.0	1 Gbp	0.0	35-76	51.0	46.51312624130779	74.84857955533197	76	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ERR4703475_2	ERR4703475_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14582159.0	1.1 Gbp	0.0	35-76	51.0	45.95981721450349	75.48102108885249	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
ERR4703476_1	ERR4703476_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14786726.0	1.1 Gbp	0.0	35-76	49.0	51.38550849919059	75.5062044160418	76	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
ERR4703476_2	ERR4703476_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14786726.0	1.1 Gbp	0.0	35-76	50.0	48.87909974203489	75.49753812980643	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
ERR4703477_1	ERR4703477_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13527680.0	1 Gbp	0.0	35-76	50.0	50.48091307145409	75.50333383107821	76	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
ERR4703477_2	ERR4703477_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13527680.0	1 Gbp	0.0	35-76	51.0	48.20676421516832	75.49383737640157	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
ERR4703478_1	ERR4703478_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15160197.0	1.1 Gbp	0.0	35-76	47.0	46.42943999657736	74.38295966734469	76	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ERR4703478_2	ERR4703478_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15160197.0	1.1 Gbp	0.0	35-76	48.0	47.14563858973965	75.49821760231744	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
ERR4703479_1	ERR4703479_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16670950.0	1.2 Gbp	0.0	35-76	50.0	46.65773144111637	74.85568332938435	76	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ERR4703479_2	ERR4703479_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16670950.0	1.2 Gbp	0.0	35-76	51.0	46.01917691214219	75.4558016789685	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
